instruction,reference,generated,meteor
口糜的简介是？,口糜是中医病名。是指多因湿热内蕴，上蒸口腔所致，以口腔肌膜糜烂成片，口气臭秽等为主要表现的疮疡类疾病。西医可以对应口腔白色念珠菌病。发生于小儿者，以1岁内婴儿或不满月婴儿多见，又称鹅口疮、燕口疮、白口疮、雪口。发生于成人者，往往继发于伤寒、大面积烧伤或烫伤、泻泄、糖尿病、原发性免疫缺陷，以及长期大量使用抗生素的患者。,口糜是指口腔内各种原因引起的黏膜急性炎症。多发于儿童及青壮年，好发于唇、舌、颊粘膜等处，可发生于任何年龄和性别。,0.0
阴茎纤维性海绵体炎的治愈率是多少？,89%,85%,0.0
痹证的治疗方式是什么？,药物治疗；支持性治疗,中医治疗；支持性治疗,0.0
怎么治疗胰腺癌效果会比较好？，叔叔年纪比较大了，现在得了胰腺癌，,目前的治疗方法为：手术治疗：相对肿瘤比较小的，而且肿瘤并没有发生转移，也不过于接近大动脉等重要部位。如果肿瘤部位比较深入的话，治疗起来风险比较大。化学治疗：延长生存期、改善生活质量及提高手术等其他治疗的效果，包括手术后的辅助化疗以及针对未接受根治性治疗患者的姑息化疗。放射治疗：对于不能进食者有很大帮助，有效的控制疼痛感。主要用于不可手术的局部进展期胰腺癌的综合治疗、术后肿瘤残存或复发病例的综合治疗。,目前胰腺癌的治疗方法有手术、化疗、放射治疗、生物治疗等。由于胰腺癌恶性程度高、发展快、早期症状不明显，往往在确诊时已经晚期，失去了手术机会，故预后极差，5年生存率不到5%，死亡率极高，是消化道肿瘤中死亡率最高的一种。因此，对胰腺癌的治疗应以手术为主，辅以化疗、放疗和生物治疗等综合治疗，提高患者的生活质量。,0.0
B超显示盆腔积液如何救治，都欠均匀了，我五个月前做了稽留流产，但是第二个月就没宫内膜回音欠均匀，就是从第三个月到第五个月一直都是宫内膜回音欠均匀，您好为什么宫内膜回音欠均匀，除了我盆腔积液是不是很严重？在乎怎样的帮助：我宫内膜回音欠均匀该怎么救治，我每个月月经还是28天得周期左右，除了盆腔积液应该怎么救治，需要有在来月经期间挂盐水是不是效果会跟好？还是要中药灌肠还是物理理疗还是需要有吃药呢？,子宫内膜回音不均匀和盆腔积液这都是慢性盆腔炎的表现。盆腔积液大于1cm是需要有救治的，您的已有4cm是具有较多的需要有及时救治。指导意见：您的这种情况，这两种表现是一种疾病可以同时救治，除在月经期输液消炎外，可以口服妇炎净胶囊救治，同时在月经后配合微波理疗，对盆腔积液的吸收有很好的效果。只要您坚持救治2-3个疗程，是可以完全救治的。其实得了盆腔积液并不要怕，患者要认为自己是可以战胜病魔的，只要及时发现症状，并且对症救治,您好！根据您的叙述，您是5个月前做的稽留流产，术后第2个月没宫内膜回音欠均匀，之后一直都有。考虑与流产后子宫复旧不全有关。建议您做一下B超仔细检查，看是否有子宫肌瘤、子宫腺肌症等疾病。如果有这些疾病的话，需要有治疗原病发。平时留意歇息，防止操劳，始终保持心情舒畅，不要紧张。盆腔积液一般不需要特殊治疗，如果引来腹痛或者白带异常等症状，可以口服药物或者输液治疗。祝您健康！以上是对,0.0
逼尿肌反射亢进型神经源性膀胱的手术治疗有些什么？,小肠浆肌层膀胱扩大术,膀胱颈切开术；膀胱颈悬吊术,0.0
囊袋收缩综合征的临床表现有些什么？,视物模糊；眩光；视力下降,术后视力明显下降；视物模糊,0.0
先天性直肠与周围脏器瘘忌食什么？,啤酒；白酒；白扁豆；草鱼,白酒；白扁豆；白果（干）；螃蟹,0.0
出现性功能障碍怎么样治较好，平时工作比较忙，身体也觉得很疲劳，最近和媳妇过性生活时发现自己不能勃起了，为此夫妻感情也受到了影响，我真的觉得很苦恼，请问：出现性功能障碍怎么样治较好,"你的情况应当留意日常的积极锻炼身体确保饮食的滋补很重要，如果有早泄不起应当看一看有否晨勃的情况除了就是看一看有否饮食喝啤酒过度的操劳的问题，应当留意恰当的歇息，建议您方便时可以到正规的男科医院实施复诊,医生结合您的情况实施专科仔细检查,以明确病因病情,实施个性化治疗,以达到理想的治疗效果.对于男性疾病患者来说，及时治疗是可以减低病发，如果不及时治疗会影响到受孕情况。因此患者要及时对症治疗，并且日常生活中要规律性生活，防止久坐，祝你早日康复",根据你的叙述，这种情况建议你到医院做个男科检查，明确病因后对症救治。平时注意增强营养，适当活动，始终保持心情舒畅，防止加班，戒烟酒，少吃辛辣刺激性食物。对于男性疾病患者来说，及时救治是可以减低病发，如果不及时救治会影响到健康情况。因此患者要及时对症下药，并且日常生活中要以防过劳，留意自身卫生情况，祝你早日康复。,0.0
急性胃炎后注意什么，周四下午三点突然开始恶心呕吐，吐了三四次去医务室拿了药，仍然呕吐不止，吐了好多胃水，最后胃水都没有了还在吐。,你好，据你所述，考虑急性肠胃炎是胃肠黏膜的急性炎症，临床表现主要为恶心、呕吐、腹痛、腹泻、发热等。本病常见于夏秋季，其发生多由于饮食不当，暴饮暴食；或食入生冷腐馊、，除此之外，患者在治疗急性胃炎期间，除了要及时治疗外，患者的饮食状况和心理状态也是至关重要，患者一定要保持心情愉快，合理饮食，以免对急性胃炎的恢复造成了不必要的影响。,您好！根据您的描述，考虑您是急性胃炎。建议您去医院做一下检查，确诊后再治疗。平时注意饮食清淡，避免辛辣刺激性食物，不要喝酒。祝您早日康复！,0.0
阳痿早泄硬度不够做生物补片有用吗，阳痿早泄硬度还不够做生物补片有协助吗？这是肾虚还是阳虚,你说的这种所谓的生物补片救治。千万千万不要认为，这往往是私人医院忽悠的治疗方法。千万千万不要中计了，你所购买的情况不能证明是肾阳虚还是肾阴虚。阳痿早泄是不同的概念完全用药物救治即可。除此之外，患者在救治早泄期间，除了要及时救治外，患者的饮食状况和心理状态也是十分重要，患者一定要防止精神上过度的紧张和担忧，以免对早泄的彻底恢复引发了不必要的干扰。,根据你的叙述和症状，你患的是肾虚引来的性功能障碍。建议：你可以吃点金贵肾气丸或五子衍宗丸实施调养治疗，平时留意歇息，不要加班，防止操劳，多吃一些坚果类食物，如核桃，松子等，适当锻炼身体，增加机体免疫力，祝你早日康复！男科病患者在积极治疗之外，患者在生活中还需要有注意要保持良好的心情，好的心情对疾病的彻底恢复很有帮助，期望上述的答案可以帮助到你，谢谢！,0.0
